status,price,bed,bath,acre_lot,city,state,zip_code,house_size,price_per_sqft,bed_bath_ratio,market_segment,luxury_flag,lot_size_bucket,listing_year,listing_month,prev_sold_date
for_sale,269900.0,3.0,2.0,0.1,Melbourne,Florida,32901.0,1277.0,211.35,1.5,mid_market,False,tiny,2009.0,2009-12,2009-12-29
sold,269900.0,4.0,2.0,0.15,Yuma,Arizona,85364.0,2000.0,134.95,2.0,mid_market,False,small,2021.0,2021-11,2021-11-24
sold,125000.0,2.0,2.0,0.13,Vermillion,South Dakota,57069.0,1140.0,109.65,1.0,budget,False,small,2022.0,2022-04,2022-04-15
sold,289999.0,3.0,2.0,0.25,Saint Louis,Missouri,63146.0,2119.0,136.86,1.5,mid_market,False,small,2022.0,2022-01,2022-01-20
for_sale,289000.0,3.0,2.0,0.33,Groton,Connecticut,6355.0,936.0,308.76,1.5,mid_market,False,standard,,,
for_sale,569000.0,4.0,3.0,0.31,McKinney,Texas,75072.0,2246.0,253.34,1.333,premium,False,standard,2013.0,2013-04,2013-04-17
sold,1179999.0,5.0,4.0,0.47,Vienna,Virginia,22180.0,3497.0,337.43,1.25,luxury,True,standard,2022.0,2022-02,2022-02-24
for_sale,482000.0,3.0,2.0,,Lake City,Florida,32025.0,1818.0,265.13,1.5,mid_market,False,tiny,,,
for_sale,307285.0,3.0,2.0,,Oklahoma City,Oklahoma,73179.0,1750.0,175.59,1.5,mid_market,False,tiny,,,
for_sale,282900.0,4.0,3.0,0.33,Forsyth,Georgia,31029.0,2406.0,117.58,1.333,mid_market,False,standard,,,
sold,619000.0,2.0,1.0,0.22,Martinez,California,94553.0,1086.0,569.98,2.0,premium,False,small,2022.0,2022-03,2022-03-28
sold,399900.0,4.0,3.0,2.95,Hancock,Massachusetts,1237.0,2576.0,155.24,1.333,mid_market,False,large,2021.0,2021-11,2021-11-30
for_sale,789000.0,4.0,3.0,0.14,Lincoln,California,95648.0,2707.0,291.47,1.333,premium,False,small,2003.0,2003-08,2003-08-20
sold,650000.0,3.0,2.0,3.66,Chula Vista,California,91910.0,1515.0,429.04,1.5,premium,False,large,2022.0,2022-04,2022-04-25
sold,350000.0,2.0,3.0,0.05,Naperville,Illinois,60540.0,1641.0,213.28,0.667,mid_market,False,tiny,2022.0,2022-04,2022-04-22
sold,395000.0,3.0,2.0,1.13,Laurel,Delaware,19956.0,1852.0,213.28,1.5,mid_market,False,large,2022.0,2022-04,2022-04-14
sold,490000.0,5.0,4.0,0.13,Kissimmee,Florida,34747.0,2255.0,217.29,1.25,mid_market,False,small,2022.0,2022-04,2022-04-21
sold,146900.0,4.0,1.0,0.14,Parma,Ohio,44134.0,2534.0,57.97,4.0,budget,False,small,2022.0,2022-02,2022-02-10
sold,599000.0,4.0,3.0,0.11,Santa Maria,California,93458.0,1811.0,330.76,1.333,premium,False,small,2022.0,2022-05,2022-05-04
for_sale,1035000.0,14.0,15.0,8.07,Dallas,Texas,75231.0,9790.0,105.72,0.933,luxury,True,estate,1999.0,1999-09,1999-09-23
sold,45500.0,4.0,1.0,0.23,Kinmundy,Illinois,62854.0,1400.0,32.5,4.0,budget,False,small,2022.0,2022-03,2022-03-15
sold,215000.0,3.0,1.0,0.38,Charlotte,North Carolina,28215.0,1333.0,161.29,3.0,budget,False,standard,2022.0,2022-04,
sold,725000.0,3.0,2.0,0.17,Winnetka,California,91306.0,1400.0,517.86,1.5,premium,False,small,2022.0,2022-02,2022-02-17
sold,167000.0,2.0,2.0,0.01,Albuquerque,New Mexico,87111.0,1071.0,155.93,1.0,budget,False,tiny,2021.0,2021-11,2021-11-08
sold,285000.0,3.0,2.0,0.23,Gloucester,Virginia,23061.0,1250.0,228.0,1.5,mid_market,False,small,2021.0,2021-12,2021-12-09
sold,724900.0,3.0,3.0,0.3,Bremerton,Washington,98310.0,3816.0,189.96,1.0,premium,False,standard,2022.0,2022-01,2022-01-07
for_sale,172500.0,2.0,1.0,16.89,Bloomington,Minnesota,55438.0,920.0,187.5,2.0,budget,False,estate,2015.0,2015-02,2015-02-11
for_sale,130000.0,2.0,1.0,0.24,Dunnellon,Florida,34431.0,768.0,169.27,2.0,budget,False,small,,,
sold,148900.0,2.0,1.0,0.35,Morganton,North Carolina,28655.0,1192.0,124.92,2.0,budget,False,standard,2022.0,2022-01,2022-01-06
for_sale,150000.0,4.0,2.0,0.41,Cedar Hill,Missouri,63016.0,1022.0,146.77,2.0,budget,False,standard,2000.0,2000-07,2000-07-05
sold,399000.0,3.0,2.0,0.15,Plymouth,Massachusetts,2360.0,1118.0,356.89,1.5,mid_market,False,small,2022.0,2022-03,2022-03-04
for_sale,2875000.0,4.0,4.0,0.72,La Jolla,California,92037.0,2249.0,1278.35,1.0,luxury,True,standard,,,
for_sale,539598.0,3.0,3.0,0.08,Charlottesville,Virginia,22902.0,2299.0,234.71,1.0,premium,False,tiny,2022.0,2022-05,2022-05-05
sold,315000.0,4.0,2.0,0.63,Possum Kingdom Lake,Texas,76450.0,1858.0,169.54,2.0,mid_market,False,standard,2021.0,2021-12,2021-12-30
for_sale,159900.0,3.0,2.0,1.64,Chelsea,Iowa,52215.0,1296.0,123.38,1.5,budget,False,large,2017.0,2017-10,2017-10-10
sold,384900.0,4.0,2.0,0.15,Casa Grande,Arizona,85194.0,1820.0,211.48,2.0,mid_market,False,small,2022.0,2022-02,2022-02-10
sold,399000.0,3.0,1.0,0.24,Hollywood,Florida,33020.0,1166.0,342.2,3.0,mid_market,False,small,2022.0,2022-03,2022-03-16
for_sale,175000.0,2.0,1.0,1.39,Morriston,Florida,32668.0,888.0,197.07,2.0,budget,False,large,2017.0,2017-10,2017-10-05
for_sale,305000.0,4.0,2.0,0.15,Modesto,California,95358.0,1264.0,241.3,2.0,mid_market,False,small,2016.0,2016-10,2016-10-31
for_sale,125000.0,3.0,2.0,0.28,Wilson,Texas,79381.0,1799.0,69.48,1.5,budget,False,standard,,,
for_sale,1280000.0,4.0,4.0,0.4,Lakeway,Texas,78734.0,3620.0,353.59,1.0,luxury,True,standard,2015.0,2015-08,2015-08-11
for_sale,639900.0,5.0,4.0,0.27,Upper Marlboro,Maryland,20772.0,3628.0,176.38,1.25,premium,False,standard,2021.0,2021-08,2021-08-16
sold,1200000.0,5.0,3.0,0.19,Villa Park,California,92861.0,2859.0,419.73,1.667,luxury,True,small,2022.0,2022-04,2022-04-18
for_sale,448837.0,4.0,3.0,0.05,West Haven,Utah,84401.0,1779.0,252.3,1.333,mid_market,False,tiny,,,
for_sale,339000.0,3.0,2.0,0.19,Orlando,Florida,32808.0,1251.0,270.98,1.5,mid_market,False,small,2021.0,2021-12,2021-12-14
for_sale,975000.0,6.0,4.0,0.18,Corona,California,92883.0,3703.0,263.3,1.5,premium,False,small,2008.0,2008-06,2008-06-11
for_sale,453990.0,3.0,2.0,0.19,Nampa,Idaho,83651.0,2007.0,226.2,1.5,mid_market,False,small,2023.0,2023-02,2023-02-09
sold,223000.0,4.0,2.0,0.14,Somerton,Arizona,85350.0,1319.0,169.07,2.0,budget,False,small,2021.0,2021-12,2021-12-17
for_sale,1495000.0,4.0,5.0,0.45,Eden Prairie,Minnesota,55347.0,5090.0,,0.8,luxury,True,standard,2017.0,2017-07,2017-07-25
sold,875000.0,3.0,2.0,0.14,Long Beach,California,90807.0,,726.14,1.5,premium,False,small,2022.0,2022-04,2022-04-08
sold,1049000.0,4.0,,0.16,Oxnard,California,93036.0,2492.0,420.95,1.333,luxury,True,small,2021.0,2021-11,2021-11-24
sold,109900.0,3.0,2.0,0.18,Mount Pleasant,Michigan,48858.0,1290.0,85.19,1.5,budget,False,small,2022.0,2022-01,2022-01-10
for_sale,179900.0,3.0,2.0,0.17,Cincinnati,Ohio,45227.0,1332.0,135.06,1.5,budget,False,small,,,
for_sale,179900.0,2.0,1.0,0.14,Indianapolis,Indiana,46219.0,1700.0,105.82,2.0,budget,False,small,2021.0,2021-11,2021-11-19
for_sale,145000.0,3.0,2.0,0.17,Kingsport,Tennessee,37664.0,1274.0,113.81,1.5,budget,False,small,1990.0,1990-08,1990-08-07
sold,249900.0,3.0,1.0,0.63,Wilbraham,Massachusetts,1095.0,1101.0,226.98,3.0,mid_market,False,standard,2022.0,2022-03,2022-03-04
for_sale,365000.0,3.0,2.0,0.23,West Palm Beach,Florida,33407.0,1352.0,269.97,1.5,mid_market,False,small,2017.0,2017-08,2017-08-30
sold,119000.0,1.0,1.0,,Saint Petersburg,Florida,33716.0,665.0,178.95,1.0,budget,False,tiny,2022.0,2022-01,2022-01-25
for_sale,179000.0,2.0,2.0,0.43,Bainbridge,Georgia,39819.0,1408.0,127.13,1.0,budget,False,standard,,,
sold,769000.0,5.0,3.0,2.4,Sumas,Washington,98295.0,3792.0,202.8,1.667,premium,False,large,2022.0,2022-04,2022-04-21
for_sale,399900.0,3.0,1.0,0.19,Mansfield,Massachusetts,2048.0,1068.0,374.44,3.0,mid_market,False,small,1995.0,1995-10,1995-10-30
for_sale,47900.0,2.0,2.0,,Hemet,California,92545.0,1512.0,31.68,1.0,budget,False,tiny,,,
sold,75000.0,4.0,1.0,0.12,Erie,Pennsylvania,16508.0,1461.0,51.33,4.0,budget,False,small,2021.0,2021-11,2021-11-30
sold,3700000.0,5.0,5.0,1.16,Valencia,California,91381.0,6162.0,600.45,1.0,luxury,True,large,2021.0,2021-12,2021-12-20
for_sale,550000.0,1.0,2.0,,Miami,Florida,33132.0,745.0,738.26,0.5,premium,False,tiny,2018.0,2018-06,2018-06-01
sold,2495000.0,4.0,3.0,0.08,Marina del Rey,California,90292.0,1870.0,1334.22,1.333,luxury,True,tiny,2022.0,2022-03,2022-03-31
for_sale,475000.0,3.0,1.0,0.08,Hempstead,New York,11550.0,935.0,508.02,3.0,mid_market,False,tiny,,,
sold,146000.0,3.0,2.0,0.2,Broken Arrow,Oklahoma,74012.0,1388.0,105.19,1.5,budget,False,small,2022.0,2022-03,2022-03-09
for_sale,189900.0,3.0,2.0,0.64,Antigo,Wisconsin,54409.0,1480.0,128.31,1.5,budget,False,standard,2015.0,2015-11,2015-11-20
for_sale,841415.0,6.0,6.0,0.27,Kansas City,Missouri,64155.0,4610.0,182.52,1.0,premium,False,standard,,,
for_sale,169500.0,2.0,2.0,0.58,Kirbyville,Texas,75956.0,1922.0,88.19,1.0,budget,False,standard,2022.0,2022-04,2022-04-05
sold,82500.0,3.0,1.0,0.38,Fairbury,Illinois,61739.0,1344.0,61.38,3.0,budget,False,standard,2022.0,2022-01,2022-01-28
for_sale,1689000.0,2.0,2.0,0.02,Piermont,New York,10968.0,2643.0,639.05,1.0,luxury,True,tiny,2011.0,2011-11,2011-11-21
for_sale,403500.0,4.0,3.0,0.2,Nixa,Missouri,65714.0,2100.0,192.14,1.333,mid_market,False,small,,,
sold,1399000.0,4.0,3.0,0.21,Villa Park,California,92861.0,2672.0,523.58,1.333,luxury,True,small,2022.0,2022-02,2022-02-28
for_sale,233625.0,4.0,3.0,0.65,Corn,Oklahoma,73024.0,3079.0,75.88,1.333,budget,False,standard,1998.0,1998-08,1998-08-10
for_sale,279900.0,5.0,2.0,2.23,Bryan,Ohio,43506.0,2083.0,134.37,2.5,mid_market,False,large,2003.0,2003-05,2003-05-27
for_sale,579900.0,3.0,3.0,5.08,Barrington,New Hampshire,3825.0,1923.0,301.56,1.0,premium,False,estate,,,
sold,359777.0,2.0,1.0,0.05,Frederick,Colorado,80530.0,1128.0,318.95,2.0,mid_market,False,tiny,2022.0,2022-03,2022-03-31
for_sale,239000.0,2.0,2.0,,Naples,Florida,34112.0,1097.0,217.87,1.0,mid_market,False,tiny,2008.0,2008-03,2008-03-05
for_sale,310000.0,5.0,3.0,3.4,Pineville,South Carolina,29468.0,2432.0,127.47,1.667,mid_market,False,large,,,
for_sale,460000.0,2.0,1.0,0.44,Perris,California,92570.0,958.0,480.17,2.0,mid_market,False,standard,2021.0,2021-04,2021-04-02
sold,225000.0,4.0,2.0,0.17,Corpus Christi,Texas,78409.0,1510.0,149.01,2.0,budget,False,small,2022.0,2022-01,2022-01-12
sold,203000.0,3.0,2.0,0.19,Des Moines,Iowa,50315.0,1234.0,164.51,1.5,budget,False,small,2022.0,2022-04,2022-04-18
sold,640000.0,2.0,2.0,3.12,San Diego,California,92109.0,1110.0,576.58,1.0,premium,False,large,2021.0,2021-12,2021-12-16
sold,185000.0,4.0,2.0,3632.0,Ponce,Puerto Rico,730.0,1632.0,113.36,2.0,budget,False,estate,2022.0,2022-03,2022-03-22
sold,349000.0,3.0,2.0,1.0,Mount Shasta,California,96067.0,1500.0,232.67,1.5,mid_market,False,standard,2022.0,2022-04,2022-04-15
for_sale,387500.0,5.0,3.0,0.16,Red Oak,Texas,75154.0,3071.0,126.18,1.667,mid_market,False,small,2008.0,2008-04,2008-04-11
sold,380990.0,3.0,3.0,0.06,Satellite Beach,Florida,32937.0,2075.0,183.61,1.0,mid_market,False,tiny,2021.0,2021-12,2021-12-14
for_sale,1675000.0,4.0,3.0,0.22,Saint Petersburg,Florida,33707.0,2404.0,696.76,1.333,luxury,True,small,2020.0,2020-04,2020-04-29
sold,149900.0,2.0,1.0,0.26,Gardner,Massachusetts,1440.0,888.0,168.81,2.0,budget,False,standard,2021.0,2021-10,2021-10-25
sold,749000.0,4.0,2.0,,Carson,California,90746.0,1712.0,437.5,2.0,premium,False,small,2022.0,2022-03,2022-03-07
sold,385000.0,3.0,5.0,0.3,Fort Worth,Texas,76008.0,2820.0,136.52,0.6,mid_market,False,standard,2021.0,2021-12,2021-12-17
for_sale,99000.0,2.0,1.0,0.03,Albany,New York,12206.0,1700.0,58.24,2.0,budget,False,tiny,,,
for_sale,1200000.0,3.0,2.0,0.13,Seattle,Washington,98103.0,2260.0,530.97,1.5,luxury,True,small,1986.0,1986-06,1986-06-12
for_sale,115000.0,3.0,2.0,1.8,Coal Hill,Arkansas,72832.0,1512.0,76.06,1.5,budget,False,large,,,
sold,180000.0,3.0,2.0,1.21,Russia,Ohio,45363.0,1404.0,128.21,1.5,budget,False,large,2022.0,2022-03,2022-03-31
sold,699000.0,4.0,2.0,0.16,Oceanside,California,92057.0,1440.0,485.42,2.0,premium,False,small,2022.0,2022-01,2022-01-14
sold,449900.0,2.0,3.0,0.11,Langhorne,Pennsylvania,19047.0,1582.0,284.39,0.667,mid_market,False,small,2022.0,2022-01,2022-01-25
for_sale,349900.0,3.0,2.0,,Tampa,Florida,33634.0,1119.0,312.69,1.5,mid_market,False,tiny,2021.0,2021-11,2021-11-17
sold,499000.0,3.0,3.0,22.66,Hawley,Minnesota,56549.0,2711.0,,1.0,premium,False,estate,2021.0,2021-11,2021-11-15
for_sale,850000.0,5.0,4.0,5.0,Acton,California,93510.0,3542.0,239.98,1.25,premium,False,large,2005.0,2005-11,2005-11-18
sold,599900.0,6.0,5.0,0.12,Kissimmee,Florida,34747.0,3142.0,190.93,1.2,premium,False,small,2022.0,2022-02,2022-02-28
sold,249900.0,3.0,2.0,0.24,Charlotte,North Carolina,28273.0,934.0,267.56,1.5,mid_market,False,small,2021.0,2021-12,2021-12-21
for_sale,258000.0,3.0,3.0,0.34,Tobyhanna,Pennsylvania,18466.0,1692.0,152.48,1.0,mid_market,False,standard,2016.0,2016-09,2016-09-06
for_sale,169900.0,3.0,2.0,0.61,Sodus,New York,14551.0,1638.0,103.72,1.5,budget,False,standard,2017.0,2017-02,2017-02-17
sold,349900.0,3.0,3.0,0.92,Kirkwood,Pennsylvania,17536.0,2730.0,128.17,1.0,mid_market,False,standard,2021.0,2021-11,2021-11-24
sold,500000.0,3.0,3.0,,Chicago,Illinois,60641.0,1800.0,277.78,1.0,premium,False,tiny,2022.0,2022-04,2022-04-14
for_sale,219900.0,3.0,1.0,0.3,Guilderland,New York,12084.0,1368.0,160.75,3.0,budget,False,standard,2016.0,2016-08,2016-08-22
for_sale,144900.0,5.0,2.0,0.41,Lansing,Michigan,48910.0,1350.0,107.33,2.5,budget,False,standard,2009.0,2009-08,2009-08-06
sold,835000.0,5.0,4.0,0.14,Marysville,Washington,98270.0,4176.0,199.95,1.25,premium,False,small,2021.0,2021-12,2021-12-06
sold,300000.0,2.0,2.0,0.14,Melbourne Beach,Florida,32951.0,1332.0,225.23,1.0,mid_market,False,small,2022.0,2022-03,2022-03-15
sold,4825000.0,9.0,5.0,,New York City,New York,11215.0,6600.0,731.06,1.8,luxury,True,tiny,2022.0,2022-02,2022-02-28
for_sale,119900.0,2.0,1.0,0.4,Morrison,Illinois,61270.0,1700.0,70.53,2.0,budget,False,standard,2021.0,2021-01,2021-01-15
sold,390000.0,4.0,3.0,0.75,Aztec,New Mexico,87410.0,2042.0,190.99,1.333,mid_market,False,standard,2022.0,2022-02,2022-02-22
sold,1375000.0,3.0,2.0,,San Diego,California,92122.0,1957.0,702.61,1.5,luxury,True,small,2022.0,2022-04,2022-04-26
sold,340000.0,5.0,3.0,0.39,Yukon,Oklahoma,73099.0,2315.0,146.87,1.667,mid_market,False,standard,2022.0,2022-03,2022-03-21
sold,299000.0,2.0,1.0,0.21,Chehalis,Washington,98532.0,1044.0,286.4,2.0,mid_market,False,small,2022.0,2022-04,2022-04-01
sold,235000.0,3.0,3.0,,San Juan,Puerto Rico,918.0,2129.0,110.38,1.0,budget,False,tiny,2022.0,2022-03,2022-03-16
for_sale,999900.0,3.0,4.0,0.29,Clearwater,Florida,33767.0,2398.0,416.97,0.75,premium,False,standard,,,
sold,220000.0,3.0,3.0,0.04,Brandon,Florida,33511.0,1649.0,133.41,1.0,budget,False,tiny,2022.0,2022-02,2022-02-18
for_sale,1275000.0,5.0,4.0,0.14,Carolina Beach,North Carolina,28428.0,2416.0,527.73,1.25,luxury,True,small,,,
sold,229500.0,2.0,2.0,,Clearwater,Florida,33763.0,1240.0,185.08,1.0,budget,False,tiny,2022.0,2022-03,2022-03-25
sold,252900.0,1.0,1.0,0.02,Atlanta,Georgia,30308.0,891.0,283.84,1.0,mid_market,False,tiny,2021.0,2021-12,2021-12-13
sold,425000.0,3.0,2.0,0.18,Yucaipa,California,92399.0,1424.0,298.46,1.5,mid_market,False,small,2021.0,2021-12,2021-12-28
for_sale,105000.0,2.0,2.0,,Sequim,Washington,98382.0,1344.0,78.12,1.0,budget,False,tiny,,,
sold,695000.0,5.0,2.0,0.2,Weymouth,Massachusetts,2188.0,2300.0,302.17,2.5,premium,False,small,2022.0,2022-03,2022-03-03
sold,619900.0,3.0,1.0,0.07,Quincy,Massachusetts,2171.0,1356.0,457.15,3.0,premium,False,tiny,2021.0,2021-11,2021-11-03
for_sale,284000.0,2.0,2.0,0.04,Lancaster,New York,14086.0,1320.0,215.15,1.0,mid_market,False,tiny,2021.0,2021-07,2021-07-16
for_sale,569700.0,5.0,2.0,0.26,Moorestown,New Jersey,8057.0,2326.0,244.93,2.5,premium,False,standard,2018.0,2018-10,2018-10-10
for_sale,949000.0,3.0,3.0,3.76,Killington,Vermont,5751.0,3320.0,285.84,1.0,premium,False,large,,,
for_sale,329900.0,3.0,2.0,1.02,Lake Wales,Florida,33898.0,2040.0,161.72,1.5,mid_market,False,large,2020.0,2020-11,2020-11-13
sold,167500.0,1.0,1.0,,Fort Collins,Colorado,80526.0,576.0,290.8,1.0,budget,False,tiny,2021.0,2021-11,2021-11-30
sold,1299950.0,5.0,3.0,0.27,Bothell,Washington,98021.0,,461.96,1.667,luxury,True,standard,2022.0,2022-02,2022-02-25
sold,229900.0,2.0,2.0,,Jacksonville,Florida,32257.0,1098.0,209.38,1.0,budget,False,tiny,2022.0,2022-04,2022-04-15
sold,1599900.0,4.0,4.0,0.13,Arlington,Massachusetts,2474.0,2936.0,544.93,1.0,luxury,True,small,2022.0,2022-02,2022-02-04
for_sale,444000.0,3.0,2.0,0.19,Mesa,Arizona,85204.0,1859.0,238.84,1.5,mid_market,False,small,2022.0,2022-02,2022-02-02
sold,299900.0,3.0,2.0,0.23,Dallas,Texas,75229.0,1520.0,197.3,1.5,mid_market,False,small,2022.0,2022-04,2022-04-08
for_sale,380000.0,4.0,2.0,0.16,Hanford,California,93230.0,1711.0,222.09,2.0,mid_market,False,small,2019.0,2019-03,2019-03-01
sold,2895000.0,3.0,3.0,0.14,Burlingame,California,94010.0,2280.0,1269.74,1.0,luxury,True,small,2022.0,2022-03,2022-03-10
sold,888000.0,3.0,2.0,0.08,Milpitas,California,95035.0,1215.0,730.86,1.5,premium,False,tiny,2021.0,2021-11,2021-11-30
sold,502900.0,3.0,2.0,0.21,Lewes,Delaware,19958.0,1924.0,261.38,1.5,premium,False,small,2022.0,2022-02,2022-02-15
sold,379500.0,4.0,2.0,0.48,Fishkill,New York,12524.0,1998.0,189.94,2.0,mid_market,False,standard,2021.0,2021-10,2021-10-28
sold,309000.0,3.0,3.0,,Doral,Florida,33178.0,1335.0,231.46,1.0,mid_market,False,tiny,2022.0,2022-01,2022-01-20
for_sale,529900.0,2.0,2.0,2.19,Herbster,Wisconsin,54844.0,2500.0,211.96,1.0,premium,False,large,2004.0,2004-04,2004-04-05
sold,152000.0,2.0,2.0,,Santa Rosa,California,95401.0,1152.0,131.94,1.0,budget,False,tiny,2022.0,2022-03,2022-03-16
for_sale,220000.0,2.0,2.0,,Miami,Florida,33193.0,800.0,275.0,1.0,budget,False,tiny,,,
for_sale,375000.0,3.0,2.0,0.04,Nashville,Tennessee,37221.0,1816.0,206.5,1.5,mid_market,False,tiny,,,
for_sale,555000.0,3.0,3.0,0.71,Hewlett,New York,11557.0,1434.0,387.03,1.0,premium,False,standard,,,
sold,377080.0,4.0,2.0,0.25,Fort Myers,Florida,33967.0,1828.0,206.28,2.0,mid_market,False,small,2022.0,2022-04,2022-04-15
sold,86500.0,3.0,2.0,0.11,Alliance,Ohio,44601.0,1668.0,51.86,1.5,budget,False,small,2021.0,2021-12,2021-12-15
for_sale,1800000.0,5.0,5.0,0.18,Washington,District of Columbia,20016.0,2641.0,681.56,1.0,luxury,True,small,2017.0,2017-11,2017-11-29
sold,389900.0,3.0,2.0,0.17,Modesto,California,95350.0,1266.0,307.98,1.5,mid_market,False,small,2022.0,2022-02,2022-02-25
sold,629900.0,4.0,3.0,0.18,Brockton,Massachusetts,2301.0,2550.0,247.02,1.333,premium,False,small,2022.0,2022-03,2022-03-31
for_sale,105000.0,2.0,1.0,0.22,Cambridge City,Indiana,47327.0,988.0,106.28,2.0,budget,False,small,2021.0,2021-02,2021-02-10
for_sale,159900.0,3.0,2.0,0.23,Rockford,Illinois,61109.0,1272.0,125.71,1.5,budget,False,small,1999.0,1999-09,1999-09-10
for_sale,196000.0,2.0,2.0,,Deerfield Beach,Florida,33442.0,839.0,233.61,1.0,budget,False,tiny,2009.0,2009-10,2009-10-15
for_sale,315000.0,4.0,2.0,0.3,Morongo Valley,California,92256.0,1248.0,252.4,2.0,mid_market,False,standard,1990.0,1990-08,1990-08-21
sold,375455.0,3.0,3.0,0.04,Vancouver,Washington,98684.0,1497.0,250.8,1.0,mid_market,False,tiny,2022.0,2022-02,2022-02-14
for_sale,599900.0,3.0,2.0,0.11,South Gate,California,90280.0,1367.0,438.84,1.5,premium,False,small,2021.0,2021-06,2021-06-10
for_sale,350000.0,11.0,4.0,0.41,Lancaster,South Carolina,29720.0,3600.0,97.22,2.75,mid_market,False,standard,,,
for_sale,825000.0,4.0,3.0,0.15,Bellevue,Idaho,83313.0,2680.0,307.84,1.333,premium,False,small,2007.0,2007-08,2007-08-24
sold,214500.0,2.0,1.0,0.29,Henrico,Virginia,23075.0,1000.0,214.5,2.0,budget,False,standard,2021.0,2021-12,2021-12-15
for_sale,589000.0,3.0,4.0,0.66,Manchester,Tennessee,37355.0,2800.0,210.36,0.75,premium,False,standard,2020.0,2020-04,2020-04-08
sold,1550000.0,5.0,4.0,5.0,Murrieta,California,92562.0,3800.0,407.89,1.25,luxury,True,large,2022.0,2022-05,2022-05-03
sold,930000.0,1.0,1.0,1.55,New York City,New York,10019.0,810.0,1148.15,1.0,premium,False,large,2021.0,2021-11,2021-11-15
sold,405000.0,3.0,3.0,0.31,Blacksburg,Virginia,24060.0,2180.0,185.78,1.0,mid_market,False,standard,2022.0,2022-03,2022-03-30
sold,998000.0,3.0,2.0,0.06,Oakland,California,94611.0,2220.0,449.55,1.5,premium,False,tiny,2021.0,2021-12,2021-12-02
sold,275000.0,3.0,2.0,0.13,Albuquerque,New Mexico,87114.0,1429.0,192.44,1.5,mid_market,False,small,2022.0,2022-04,2022-04-21
sold,280000.0,6.0,4.0,0.25,Reedsburg,Wisconsin,53959.0,2600.0,107.69,1.5,mid_market,False,small,2022.0,2022-04,2022-04-08
for_sale,1079000.0,5.0,5.0,0.34,Fairfax Station,Virginia,22039.0,4163.0,259.19,1.0,luxury,True,standard,2019.0,2019-06,2019-06-18
sold,229900.0,4.0,2.0,1.0,Neenah,Wisconsin,54956.0,1720.0,133.66,2.0,budget,False,standard,2022.0,2022-02,2022-02-09
sold,565000.0,5.0,4.0,1.58,Spotsylvania,Virginia,22553.0,3526.0,160.24,1.25,premium,False,large,2022.0,2022-04,2022-04-11
